,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
1108,219724052,Fancyqube Women Sleeveless Harness Flower Vest Tank Tops,Women Clothes,83843,"Fancyqube New Women Flowers Harness Chiffon Vest Casual Sweet Girls
Tank Tops Yellow - intl",Fashion,172000.0,172000.0,,0.5365421111
1109,315732177,Fancyqube Muslim Women New Kaftan Abaya Jilbab Loose Maxi Dress,Women Clothes,148453,"Fancyqube Floral Print Maxi Dresses Women Beach Long Print Dress
White Blue",Fashion,308000.0,308000.0,0.36,0.465904493204
1110,171532558,Fancyqube Women Black Wear Short-sleeved T-shirt,Women Clothes,88357,Fancyqube Mens Short Sleeve T-Shirt Black,Fashion,198000.0,198000.0,0.2,0.692157210271
1111,128076869,Fancycube Letter Baseball Cap Embroidered Hat ,Fashion Accessories,66310,"Fancyqube Baseball Hat Hiphop Style Cool Baseball Cap Hat Necklace
- intl","Jam Tangan, Kacamata, dan Perhiasan",111000.0,111000.0,,0.492112883864
1112,212360190,Fancyqube Net Cap Retro Baseball Cap Letter Sun Cap Fashion,Fashion Accessories,65051,"Fancyqube Fashion Unisex Baseball Cap Summer Cap Casual Outdoor
Sport Letters Adjustable Snapback Hats Drop Shipping HT-0136 Navy -
Intl",Fashion,153000.0,153000.0,0.1,0.631415092625
1113,178144006,Fancyqube Fashion Alphabets Print Hooded Sweater,Women Clothes,126376,"Fancyqube Womens Hoodie Sweater Tops Ladies Hooded Sweatshirt
Pullover Jumper Coat Dark Black - intl",Fashion,212000.0,212000.0,,0.417938867894
1114,179336240,Fancyqube Punk Backless Hollow Back Angel Wings Tops T-shirt,Women Clothes,101628,Fancyqube Rhinestone Angel Wings Cincin Wanita - Bronze,"Jam Tangan, Kacamata, dan Perhiasan",34000.0,34000.0,0.3,0.357927759646
1115,208252985,Fancyqube Stitching Net Yarn Sleeve Round Collar T-shirt,Women Clothes,90595,"Fancyqube New Women Perspective Net Yarn Stitching Long Sleeve
Zipper Tops Black - intl",Fashion,161000.0,161000.0,,0.648818119622
1116,199020440,Fancyqube Women Beach Stitching Asymmetry Slim Dress,Women Clothes,120815,"Fancyqube New Asymmetry Star Long Earrings Gold Color Vintage Punk
Round Party Accessories Triangle Tassel Earrings for Women (H03) -
intl","Jam Tangan, Kacamata, dan Perhiasan",38000.0,38000.0,,0.355780862559
1117,128076311,Fancycube Air Force Flight Baseball Uniform Coat  Jacket,Men Clothes,338477,"Fancyqube Winter Women Coat Cotton Padded Long Sleeves Jacket Slim
Outwear Solid O Neck Fashion Simple Army Green - intl",Fashion,212000.0,212000.0,,0.315078674918
1118,225909926,Fancyqube Fashion Summer Pants Women Sports Shorts Gym,Women Clothes,74767,"Fancyqube Women Sports YOGA Pants Workout Gym Fitness Leggings
Athletic Trouser Black - intl",Fashion,139000.0,139000.0,,0.569565225824
1119,227298653,Fancyqube Women Letter Printing Sleeveless Vest Tank Tops,Women Clothes,70651,"Fancyqube Summer Tank Tops Women Skull Vest Printing Women Casual
Stretch Sheath Slim Back Lace Patchwork Vest Hot Pink - intl",Fashion,109000.0,109000.0,,0.647985382872
1120,248113402,Fancyqube HOT ITEM Drawstring Long Line T-Shirt,Men Clothes,76926,"Fancyqube New Hot T shirt women Autumn Slim Long Sleeve Striped T
shirt Printing Flower Stitching White - intl",Fashion,177000.0,177000.0,,0.401357116358
1121,304962172,Fancyqube Cup Cat Squishy Soft Cell Phone Straps Bread Charm Key Straps,Fashion Accessories,84914,"Fancyqube Soft PU Foam Pineapple keychain squishy toys charm
Tropical Fruit key ring Hanging Ornaments pendant Yellow - intl","Jam Tangan, Kacamata, dan Perhiasan",45000.0,45000.0,,0.31367861094
1122,219721244,Fancyqube Women Punk Style Party Skull Print Sport Pants,Women Clothes,120653,"Fancyqube Punk Style Double Skull Head Camisole Print Vest
Perspective Neck Part Lace Patchwork Tanks Tops Black - intl",Fashion,86000.0,86000.0,,0.425861179405
1123,159620585,Fancycube Harry Potter Black Zip-up Hooded Sweater,Men Clothes,155976,"Fancyqube Gift Harry Potter Fans Authentic Hot Selling 5pcs Harry
Potter Wizard Wand Make up Brushes Set Kit Storybook Cosmetics -
intl",Kesehatan & Kecantikan,133000.0,133000.0,,0.433379532021
